Arsenal,tied,Man United,22/03/1994
Newcastle,beat,Ipswich,22/03/1994
Arsenal,beat,Liverpool,26/03/1994
Blackburn,beat,Swindon,26/03/1994
Chelsea,beat,West Ham,26/03/1994
Coventry,beat,Norwich,26/03/1994
Tottenham,beat,Everton,26/03/1994
QPR,beat,Ipswich,26/03/1994
Oldham,tied,Man City,26/03/1994
Sheffield United,tied,Southampton,26/03/1994
Wimbledon,beat,Leeds,27/03/1994
Sheffield United,beat,West Ham,28/03/1994
Ipswich,tied,Man City,29/03/1994
Newcastle,beat,Norwich,29/03/1994
Wimbledon,beat,Blackburn,29/03/1994
Aston Villa,tied,Everton,30/03/1994
Man United,beat,Liverpool,30/03/1994
Sheffield Weds,beat,Chelsea,30/03/1994
Oldham,beat,Southampton,30/03/1994
Leeds,tied,Newcastle,01/04/1994
Arsenal,tied,Swindon,02/04/1994
Blackburn,beat,Man United,02/04/1994
Chelsea,beat,Southampton,02/04/1994
Wimbledon,beat,Coventry,02/04/1994
Sheffield United,beat,Liverpool,02/04/1994
Man City,beat,Aston Villa,02/04/1994
Tottenham,beat,Norwich,02/04/1994
Arsenal,beat,Man City,20/08/1994
Chelsea,beat,Norwich,20/08/1994
Coventry,tied,Wimbledon,20/08/1994
Liverpool,beat,Crystal Palace,20/08/1994
Everton,tied,Aston Villa,20/08/1994
Nott'm Forest,beat,Ipswich,20/08/1994
Man United,beat,QPR,20/08/1994
Tottenham,beat,Sheffield Weds,20/08/1994
Southampton,tied,Blackburn,20/08/1994
West Ham,tied,Leeds,20/08/1994
Newcastle,beat,Leicester,21/08/1994
Nott'm Forest,tied,Man United,22/08/1994
Blackburn,beat,Leicester,23/08/1994
Leeds,beat,Arsenal,23/08/1994
Wimbledon,tied,Ipswich,23/08/1994
Aston Villa,tied,Southampton,24/08/1994
Man City,beat,West Ham,24/08/1994
Newcastle,beat,Coventry,24/08/1994
Norwich,tied,Crystal Palace,24/08/1994
QPR,beat,Sheffield Weds,24/08/1994
Tottenham,beat,Everton,24/08/1994
Aston Villa,tied,Crystal Palace,27/08/1994
Blackburn,beat,Coventry,27/08/1994
Chelsea,beat,Leeds,27/08/1994
Man City,beat,Everton,27/08/1994
Newcastle,beat,Southampton,27/08/1994
Norwich,beat,West Ham,27/08/1994
Nott'm Forest,beat,Leicester,27/08/1994
Ipswich,beat,QPR,27/08/1994
Man United,beat,Tottenham,27/08/1994
Sheffield Weds,beat,Wimbledon,27/08/1994
Liverpool,beat,Arsenal,28/08/1994
Aston Villa,beat,Coventry,29/08/1994
Leeds,beat,Crystal Palace,30/08/1994
Nott'm Forest,beat,Everton,30/08/1994
Tottenham,beat,Ipswich,30/08/1994
Arsenal,tied,Blackburn,31/08/1994
Chelsea,beat,Man City,31/08/1994
Leicester,tied,QPR,31/08/1994
Man United,beat,Wimbledon,31/08/1994
Sheffield Weds,tied,Norwich,31/08/1994
Liverpool,beat,Southampton,31/08/1994
Newcastle,beat,West Ham,31/08/1994
Aston Villa,beat,Ipswich,10/09/1994
Blackburn,beat,Everton,10/09/1994
Liverpool,tied,West Ham,10/09/1994
Man City,tied,Crystal Palace,10/09/1994
Newcastle,beat,Chelsea,10/09/1994
Norwich,tied,Arsenal,10/09/1994
Nott'm Forest,beat,Sheffield Weds,10/09/1994
QPR,tied,Coventry,10/09/1994
Wimbledon,beat,Leicester,10/09/1994
Leeds,beat,Man United,11/09/1994
Southampton,beat,Tottenham,12/09/1994
Coventry,beat,Leeds,17/09/1994
Crystal Palace,tied,Wimbledon,17/09/1994
Everton,tied,QPR,17/09/1994
Leicester,beat,Tottenham,17/09/1994
Man United,beat,Liverpool,17/09/1994
Sheffield Weds,tied,Man City,17/09/1994
Southampton,tied,Nott'm Forest,17/09/1994
West Ham,beat,Aston Villa,17/09/1994
Newcastle,beat,Arsenal,18/09/1994
Blackburn,beat,Chelsea,18/09/1994
Norwich,beat,Ipswich,19/09/1994
Blackburn,beat,Aston Villa,24/09/1994
Southampton,beat,Coventry,24/09/1994
Chelsea,beat,Crystal Palace,24/09/1994
Everton,tied,Leicester,24/09/1994
Ipswich,beat,Man United,24/09/1994
Man City,beat,Norwich,24/09/1994
Newcastle,tied,Liverpool,24/09/1994
Wimbledon,beat,QPR,24/09/1994
Nott'm Forest,beat,Tottenham,24/09/1994
Arsenal,beat,West Ham,25/09/1994
